SoilPh,RelativeHumidity,SoilTemperature,Risk
7,91,38,No Risk
7.1,60,4,No Risk
7.1,69,3,No Risk
4.4,71,11,No Risk
6.7,90,64,No Risk
6.5,70,24,No Risk
5.9,69,1,No Risk
6.3,45,25,No Risk
6.6,87,14,No Risk
4.9,84,13,No Risk
6.4,82,15,No Risk
6.5,44,35,No Risk
7.8,64,25,No Risk
4.3,93,43,No Risk
5,90,37,No Risk
5.5,66,7,No Risk
4.4,44,51,No Risk
5.8,81,15,No Risk
6.6,82,64,No Risk
5.2,44,14,No Risk
5.9,68,37,No Risk
6.2,92,16,No Risk
4.8,59,52,No Risk
6.3,42,51,No Risk
4.5,54,54,No Risk
5.1,57,28,No Risk
7,84,61,No Risk
6.1,95,26,No Risk
4.4,78,44,No Risk
4.2,77,51,No Risk
4.5,77,56,No Risk
5.4,73,58,No Risk
7.8,94,41,No Risk
7.6,86,55,No Risk
5,90,57,No Risk
5.4,98,25,No Risk
6.9,63,30,No Risk
7.2,92,15,No Risk
6.8,69,12,No Risk
5.7,91,6,No Risk
5.1,76,28,No Risk
5.5,94,21,No Risk
5.1,52,64,No Risk
7,58,25,No Risk
7.1,91,44,No Risk
5.3,98,14,No Risk
6.7,47,42,No Risk
7.4,59,31,No Risk
5.3,98,7,No Risk
6.5,68,27,No Risk
4.8,56,48,No Risk
7.4,55,12,No Risk
5.4,69,3,No Risk
4.3,85,52,No Risk
6.7,77,38,No Risk
4,69,63,No Risk
6.2,66,36,No Risk
6.3,96,30,No Risk
6.2,88,42,No Risk
4.5,91,61,No Risk
4.9,62,60,No Risk
5.8,54,38,No Risk
6.9,54,49,No Risk
5.9,88,14,No Risk
4,71,13,No Risk
4.8,81,50,No Risk
5.2,58,10,No Risk
6.8,41,39,No Risk
7.3,85,21,No Risk
4.5,86,23,No Risk
5.4,48,62,No Risk
7.5,70,26,No Risk
4,80,55,No Risk
7.8,88,20,No Risk
7.4,88,12,No Risk
4.3,92,50,No Risk
5.5,74,20,No Risk
4.1,77,21,No Risk
7.5,48,0,No Risk
5.7,51,37,No Risk
5.7,78,50,No Risk
6.9,65,15,No Risk
5.6,96,46,No Risk
6.5,97,39,No Risk
6,72,33,No Risk
6.6,51,63,No Risk
7.8,63,32,No Risk
6.9,86,12,No Risk
5.7,58,59,No Risk
7.9,50,37,No Risk
5.7,65,13,No Risk
6.2,52,53,No Risk
7.5,65,12,No Risk
4.8,45,49,No Risk
4.5,79,3,No Risk
5.5,98,54,No Risk
4.4,49,9,No Risk
6.8,56,55,No Risk
5,97,27,No Risk
5.9,55,16,No Risk
6.4,57,63,No Risk
7.6,81,13,No Risk
4.1,66,64,No Risk
7.6,50,42,No Risk
4.4,52,35,No Risk
6.3,73,14,No Risk
5.7,54,19,No Risk
8,53,4,No Risk
4.9,69,41,No Risk
6.1,88,60,No Risk
5.8,71,56,No Risk
7.3,99,21,No Risk
5.7,71,50,No Risk
5.4,50,10,No Risk
7.1,66,53,No Risk
5.1,44,65,No Risk
4.2,42,21,No Risk
6,55,10,No Risk
7.7,70,43,No Risk
7.5,43,13,No Risk
5.5,56,20,No Risk
4.7,80,29,No Risk
4.6,47,49,No Risk
6.9,88,51,No Risk
5.2,43,32,No Risk
6.4,84,61,No Risk
4.9,82,49,No Risk
4.4,98,36,No Risk
4.2,79,1,No Risk
7.3,70,5,No Risk
7,49,34,No Risk
7.9,49,13,No Risk
4.1,47,5,No Risk
4.1,75,22,No Risk
4.7,99,45,No Risk
6.4,44,62,No Risk
4.5,56,39,No Risk
4.5,86,35,No Risk
4.7,80,21,No Risk
7.5,82,16,No Risk
7.9,57,25,No Risk
5.4,99,33,No Risk
5.3,58,62,No Risk
4.4,57,48,No Risk
4.1,69,9,No Risk
5.1,45,25,No Risk
4.1,67,3,No Risk
7.9,66,51,No Risk
5.3,83,48,No Risk
7.9,49,57,No Risk
6.8,92,40,No Risk
7,48,64,No Risk
6.5,72,59,No Risk
6.9,96,28,No Risk
6.8,65,60,No Risk
6.8,47,21,No Risk
5.9,92,8,No Risk
7.6,92,25,No Risk
5.4,61,28,No Risk
7.8,46,1,No Risk
6.2,73,19,No Risk
7.4,60,39,No Risk
6.2,75,43,No Risk
4.4,95,13,No Risk
5,55,8,No Risk
5.7,60,43,No Risk
7.1,84,3,No Risk
6.2,66,58,No Risk
6.1,92,33,No Risk
6.8,44,56,No Risk
7.6,75,16,No Risk
5,78,42,No Risk
4.9,50,13,No Risk
5.5,53,4,No Risk
7.9,64,7,No Risk
7,54,29,No Risk
4,83,4,No Risk
4.7,41,40,No Risk
6.3,87,1,No Risk
5.5,77,18,No Risk
7.3,42,35,No Risk
4.6,90,25,No Risk
4.9,84,20,No Risk
4.8,94,20,No Risk
7.7,67,2,No Risk
6.9,53,28,No Risk
6.6,51,59,No Risk
4.7,99,45,No Risk
7.8,48,38,No Risk
5.4,86,36,No Risk
6.6,65,30,No Risk
7,67,6,No Risk
7.3,60,6,No Risk
6,75,31,No Risk
7.9,61,27,No Risk
5.9,42,38,No Risk
6.2,51,23,No Risk
5.5,76,58,No Risk
7.8,84,10,No Risk
7,46,63,No Risk
7.5,90,23,No Risk
5.2,76,61,No Risk
4.4,49,14,No Risk
4.7,87,20,No Risk
6.7,88,14,No Risk
5.2,63,24,No Risk
5.1,85,37,No Risk
7.2,83,51,No Risk
4.7,68,47,No Risk
4.7,99,57,No Risk
7.5,96,58,No Risk
4.8,54,10,No Risk
7.4,60,18,No Risk
6.5,58,33,No Risk
7.4,40,44,No Risk
7.1,70,3,No Risk
5.3,47,29,No Risk
4.2,66,14,No Risk
4.2,83,28,No Risk
6.7,54,18,No Risk
7.1,68,37,No Risk
5.2,86,55,No Risk
4.1,86,3,No Risk
5.4,69,29,No Risk
7.5,87,4,No Risk
5.2,65,59,No Risk
6,71,58,No Risk
6.4,94,16,No Risk
4.9,54,29,No Risk
6.6,69,28,No Risk
4.9,45,12,No Risk
4.1,73,42,No Risk
5,54,34,No Risk
5.3,54,52,No Risk
7.8,51,46,No Risk
8,64,40,No Risk
5.8,64,51,No Risk
7.2,72,51,No Risk
4.9,61,27,No Risk
5.3,68,52,No Risk
6,80,29,No Risk
5.8,81,36,No Risk
6,88,34,No Risk
6.4,62,46,No Risk
5.9,56,40,No Risk
4.7,51,49,No Risk
5.7,48,38,No Risk
4.5,83,25,No Risk
6.4,69,62,No Risk
6.7,70,36,No Risk
6.2,91,2,No Risk
5.1,47,43,No Risk
6.5,57,61,No Risk
5.4,49,54,No Risk
4.2,70,31,No Risk
6.5,89,41,No Risk
5.1,73,45,No Risk
5.3,83,30,No Risk
7.6,94,37,No Risk
4.9,59,33,No Risk
5.1,50,38,No Risk
7.5,53,1,No Risk
4.6,70,43,No Risk
7.9,74,5,No Risk
7.9,59,42,No Risk
6.2,87,27,No Risk
7.1,63,24,No Risk
5,90,35,No Risk
6.1,97,27,No Risk
8,50,30,No Risk
6.1,97,35,No Risk
5,62,48,No Risk
4.7,49,22,No Risk
6.7,73,35,No Risk
5.1,72,16,No Risk
6.3,91,22,No Risk
4.8,81,28,No Risk
5.2,72,20,No Risk
4.5,90,20,No Risk
7.3,65,36,No Risk
5,67,1,No Risk
6.9,57,62,No Risk
6.2,73,60,No Risk
7.1,43,56,No Risk
4.6,80,38,No Risk
7.7,59,9,No Risk
5.4,90,17,No Risk
5.8,47,7,No Risk
7.8,84,3,No Risk
5.3,64,41,No Risk
5.5,89,21,No Risk
6.7,42,41,No Risk
6.4,72,44,No Risk
6.3,93,32,No Risk
5.5,91,30,No Risk
6.8,75,38,No Risk
4.6,75,51,No Risk
6.2,43,62,No Risk
5.9,82,28,No Risk
4.8,56,65,No Risk
5.1,88,34,No Risk
6.3,80,16,No Risk
6.1,55,44,No Risk
5.4,89,26,No Risk
5.6,88,48,No Risk
5.5,48,27,No Risk
6.1,77,0,No Risk
4.1,45,61,No Risk
5.8,77,43,No Risk
5.9,45,46,No Risk
6.2,45,2,No Risk
5.1,62,34,No Risk
4.8,80,43,No Risk
7.2,50,27,No Risk
7.5,74,32,No Risk
5.4,97,18,No Risk
8,55,13,No Risk
6.8,53,12,No Risk
6.6,56,23,No Risk
4.4,93,30,No Risk
5.5,81,39,No Risk
6.4,48,16,No Risk
4.3,52,46,No Risk
4.5,80,50,No Risk
4.3,93,8,No Risk
7.1,96,50,No Risk
6,52,19,No Risk
7.9,86,58,No Risk
6.3,57,53,No Risk
6.3,49,34,No Risk
7.6,71,0,No Risk
6.5,46,50,No Risk
6.2,57,52,No Risk
4.9,61,51,No Risk
7.1,76,28,No Risk
5.3,65,49,No Risk
7.6,43,6,No Risk
5.8,61,19,No Risk
4.1,60,32,No Risk
6.3,88,50,No Risk
7.6,44,34,No Risk
7.1,95,8,No Risk
6.5,68,24,No Risk
6.7,49,18,No Risk
7.4,57,37,No Risk
6.8,66,45,No Risk
6,93,13,No Risk
4.9,68,16,No Risk
6.4,92,10,No Risk
7.5,77,13,No Risk
4.5,93,31,No Risk
5.2,75,7,No Risk
7.5,83,54,No Risk
6.8,71,43,No Risk
4.7,62,46,No Risk
7.2,97,64,No Risk
5.5,54,44,No Risk
7.9,89,40,No Risk
7.5,86,53,No Risk
5.6,42,43,No Risk
4.9,77,30,No Risk
5.9,72,55,No Risk
8,61,45,No Risk
5.8,57,44,No Risk
4.5,77,26,No Risk
6.5,44,2,No Risk
7,89,25,No Risk
5.6,87,31,No Risk
6.1,71,37,No Risk
7,56,4,No Risk
7.2,56,50,No Risk
5.8,81,64,No Risk
4.6,94,26,No Risk
5.5,91,57,No Risk
6.6,76,58,No Risk
7.7,71,17,No Risk
4.5,55,64,No Risk
5.9,41,64,No Risk
6.6,48,63,No Risk
7.3,58,26,No Risk
4.6,97,64,No Risk
7.1,70,8,No Risk
6.6,68,34,No Risk
6.3,75,6,No Risk
6.4,88,57,No Risk
4.6,78,49,No Risk
5.6,44,40,No Risk
7.9,55,12,No Risk
6.9,72,42,No Risk
7.1,42,9,No Risk
6.7,86,6,No Risk
4.4,78,31,No Risk
5.2,63,3,No Risk
6.7,46,50,No Risk
7.7,69,21,No Risk
7.9,45,43,No Risk
7.1,46,61,No Risk
6.1,55,53,No Risk
5.8,60,29,No Risk
4.1,79,46,No Risk
7.6,93,36,No Risk
5.7,86,4,No Risk
4.1,93,2,No Risk
6.4,46,62,No Risk
6.5,91,10,No Risk
7.8,60,48,No Risk
4.9,70,43,No Risk
7.8,94,26,No Risk
6.2,68,52,No Risk
4.5,96,41,No Risk
4.7,55,6,No Risk
4.1,77,48,No Risk
7.8,89,10,No Risk
4,78,40,No Risk
7.3,65,15,No Risk
6.2,89,19,No Risk
6.7,88,14,No Risk
6.8,49,2,No Risk
6.9,75,27,No Risk
7.2,42,32,No Risk
7.6,48,38,No Risk
6.3,48,8,No Risk
7.4,80,23,No Risk
5.9,61,64,No Risk
7.9,60,26,No Risk
4.6,80,11,No Risk
7.4,60,58,No Risk
7.7,87,54,No Risk
4.9,81,12,No Risk
5.3,91,26,No Risk
7.8,61,59,No Risk
6.7,47,9,No Risk
4.2,58,51,No Risk
5.5,48,11,No Risk
7.2,66,2,No Risk
6,66,23,No Risk
6.7,99,63,No Risk
6.1,45,21,No Risk
7.2,55,20,No Risk
4.7,68,16,No Risk
4.2,91,29,No Risk
7.4,87,20,No Risk
7.6,60,53,No Risk
6.7,73,16,No Risk
7.9,93,50,No Risk
5.9,71,37,No Risk
5.6,66,36,No Risk
5.6,78,6,No Risk
6.2,50,37,No Risk
5.4,43,1,No Risk
4,42,34,No Risk
4.9,78,40,No Risk
7,45,16,No Risk
4.1,94,62,No Risk
6.1,89,41,No Risk
4.7,85,56,No Risk
4.5,92,49,No Risk
5.4,53,48,No Risk
4.9,58,1,No Risk
6.1,91,15,No Risk
5.5,66,26,No Risk
4.2,98,33,No Risk
4.2,99,1,No Risk
6.7,72,45,No Risk
5.1,58,52,No Risk
7.9,83,23,No Risk
7,81,19,No Risk
6.3,70,22,No Risk
7.3,79,57,No Risk
7.5,76,9,No Risk
4.5,83,0,No Risk
6.6,87,48,No Risk
7.6,81,47,No Risk
4.2,55,63,No Risk
6.3,92,6,No Risk
6.7,72,62,No Risk
6.8,61,9,No Risk
5.3,62,30,No Risk
7.6,72,14,No Risk
6.3,96,40,No Risk
6.9,51,61,No Risk
6,76,59,No Risk
5.4,42,43,No Risk
5.3,65,46,No Risk
4.3,51,29,No Risk
5.3,77,38,No Risk
6.2,96,19,No Risk
5.3,55,35,No Risk
6.9,76,59,No Risk
6,86,65,No Risk
5.3,44,35,No Risk
5.9,94,44,No Risk
5.2,77,50,No Risk
7.2,91,57,No Risk
7.1,83,65,No Risk
5.1,50,8,No Risk
4.7,47,39,No Risk
6.9,86,41,No Risk
5.9,93,46,No Risk
7.6,44,8,No Risk
7.7,42,63,No Risk
4.3,98,10,No Risk
5.6,88,9,No Risk
5.9,89,56,No Risk
4,92,40,No Risk
4.2,92,59,No Risk
4.2,73,15,No Risk
7.6,59,15,No Risk
7.1,72,33,No Risk
6.9,45,21,No Risk
6.7,46,12,No Risk
6.9,46,22,No Risk
6,91,1,No Risk
7.5,91,41,No Risk
5.4,94,16,No Risk
5.6,66,30,No Risk
6.1,71,57,No Risk
6.4,94,58,No Risk
7,77,23,No Risk
6,94,4,No Risk
4.5,69,15,No Risk
7.9,83,54,No Risk
6.8,43,60,No Risk
5.4,58,2,No Risk
5.3,41,61,No Risk
7.9,61,59,No Risk
6.1,56,3,No Risk
6.3,72,37,No Risk
7.7,82,24,No Risk
7.1,52,12,No Risk
7.5,76,21,No Risk
4.4,86,33,No Risk
5.5,46,20,No Risk
4.9,70,32,No Risk
6.8,81,30,No Risk
5.7,75,28,No Risk
5.6,50,40,No Risk
5.1,72,24,No Risk
4.2,64,42,No Risk
7.1,63,46,No Risk
7.1,61,38,No Risk
5.4,53,2,No Risk
7.6,51,10,No Risk
6.4,53,42,No Risk
6.8,59,27,No Risk
4.7,89,17,No Risk
5.9,97,0,No Risk
5.2,90,48,No Risk
5.4,46,47,No Risk
4.9,73,54,No Risk
6.9,55,47,No Risk
7.7,88,32,No Risk
4.3,82,3,No Risk
7,60,10,No Risk
7,95,51,No Risk
6.1,93,44,No Risk
7.4,81,11,No Risk
5.1,94,19,No Risk
5.3,61,11,No Risk
5.8,98,65,No Risk
7.7,97,33,No Risk
7.8,53,4,No Risk
4.8,68,10,No Risk
6.6,86,16,No Risk
6.9,54,4,No Risk
5.7,86,60,No Risk
6.6,97,62,No Risk
8,51,33,No Risk
6.8,77,59,No Risk
4.4,44,58,No Risk
7.8,95,4,No Risk
4.6,46,42,No Risk
5.7,71,14,No Risk
6.8,56,25,No Risk
4.5,50,54,No Risk
7.5,71,29,No Risk
6.7,73,59,No Risk
7.2,82,39,No Risk
6.3,59,35,No Risk
6.6,51,59,No Risk
6.4,72,10,No Risk
4,66,62,No Risk
5.2,41,64,No Risk
5.1,53,29,No Risk
4.1,59,61,No Risk
6.4,81,18,No Risk
6.5,53,56,No Risk
4.3,64,9,No Risk
4.4,55,37,No Risk
4.5,80,52,No Risk
6.7,45,64,No Risk
4.5,86,54,No Risk
4.4,56,20,No Risk
5.7,86,1,No Risk
7.1,44,9,No Risk
4.4,88,5,No Risk
4.3,78,64,No Risk
7.7,73,30,No Risk
5,85,63,No Risk
4.6,63,1,No Risk
4.8,69,44,No Risk
7.2,42,26,No Risk
7.5,45,16,No Risk
7.3,96,30,No Risk
7.5,93,31,No Risk
4.5,94,41,No Risk
8,65,59,No Risk
4.7,93,38,No Risk
7.6,45,13,No Risk
4.7,81,35,No Risk
4.5,54,29,No Risk
6,73,7,No Risk
5.2,85,33,No Risk
4.7,61,34,No Risk
4.6,66,30,No Risk
4.2,95,65,No Risk
7,73,40,No Risk
4.6,67,26,No Risk
6.5,51,26,No Risk
7.3,69,55,No Risk
7.8,63,49,No Risk
5.1,52,7,No Risk
6.9,63,9,No Risk
7.3,98,52,No Risk
6,51,50,No Risk
5.4,50,20,No Risk
7.9,87,2,No Risk
7.1,82,10,No Risk
6,61,40,No Risk
4.7,88,31,No Risk
5,67,25,No Risk
5.4,41,61,No Risk
6.6,40,65,No Risk
4.2,70,16,No Risk
4.9,90,37,No Risk
6,93,4,No Risk
5.1,96,15,No Risk
4.8,51,9,No Risk
4.8,72,19,No Risk
4.8,47,9,No Risk
7.2,93,15,No Risk
7.5,68,35,No Risk
4.8,87,1,No Risk
4.5,47,15,No Risk
5.1,94,32,No Risk
6.7,54,18,No Risk
4.5,53,37,No Risk
5,95,50,No Risk
5.5,62,51,No Risk
7.9,56,46,No Risk
4.1,79,22,No Risk
5.1,77,24,No Risk
7.3,97,60,No Risk
4.3,43,31,No Risk
4.6,56,58,No Risk
7.5,83,60,No Risk
7.4,67,22,No Risk
6.3,56,39,No Risk
7.7,87,55,No Risk
6.4,97,62,No Risk
6.8,95,24,No Risk
6.4,93,48,No Risk
6.9,75,41,No Risk
6.1,96,57,No Risk
7.8,88,16,No Risk
6.7,63,29,No Risk
7.4,91,38,No Risk
5.5,81,57,No Risk
6.5,65,22,No Risk
7.8,68,64,No Risk
5.1,90,49,No Risk
5.5,64,54,No Risk
4.7,83,39,No Risk
4.6,76,45,No Risk
4.3,98,28,No Risk
6.7,84,13,No Risk
6.3,90,9,No Risk
4.8,50,31,No Risk
7.4,51,38,No Risk
4.6,65,54,No Risk
7.7,98,58,No Risk
5,85,28,No Risk
5.2,54,36,No Risk
7.5,71,59,No Risk
7.6,48,2,No Risk
6,47,43,No Risk
7.7,40,54,No Risk
4.8,62,52,No Risk
4.3,80,64,No Risk
6.8,92,47,No Risk
7.8,54,25,No Risk
6.1,67,19,No Risk
5.2,44,48,No Risk
6.9,78,28,No Risk
5.4,60,53,No Risk
5.6,63,13,No Risk
4.1,71,32,No Risk
4.3,52,42,No Risk
7.9,78,60,No Risk
5.7,60,25,No Risk
4.3,70,36,No Risk
7.2,88,53,No Risk
6.6,97,60,No Risk
4.3,57,54,No Risk
6.9,68,12,No Risk
6.6,53,14,No Risk
4.2,94,44,No Risk
7.8,44,18,No Risk
8,68,46,No Risk
5.8,69,3,No Risk
5.3,90,4,No Risk
5.8,92,1,No Risk
7.7,43,4,No Risk
5.9,77,13,No Risk
4.9,44,9,No Risk
4.4,57,23,No Risk
6.2,54,26,No Risk
6.7,97,14,No Risk
5.7,56,31,No Risk
7.2,48,23,No Risk
7.2,68,49,No Risk
4.3,89,24,No Risk
4.8,97,32,No Risk
5.3,86,16,No Risk
5.1,73,47,No Risk
5,79,19,No Risk
5.8,87,2,No Risk
6,43,31,No Risk
7.5,98,15,No Risk
7.8,83,59,No Risk
5.4,72,12,No Risk
6.9,63,28,No Risk
5.7,80,55,No Risk
6.1,49,59,No Risk
4.1,51,60,No Risk
6.3,44,58,No Risk
4.8,41,65,No Risk
4.2,62,44,No Risk
5.5,55,23,No Risk
7.4,60,65,No Risk
5.3,81,24,No Risk
7.5,46,20,No Risk
6.8,57,48,No Risk
6.8,71,53,No Risk
4.5,68,31,No Risk
7.6,75,53,No Risk
6.8,69,38,No Risk
4.7,90,13,No Risk
8,98,46,No Risk
4.3,65,18,No Risk
5.3,67,59,No Risk
6.6,69,25,No Risk
4.6,74,29,No Risk
4.5,79,13,No Risk
7.6,70,16,No Risk
7.8,98,1,No Risk
4.6,92,58,No Risk
4,46,17,No Risk
4.1,88,54,No Risk
4.5,83,40,No Risk
5.2,87,64,No Risk
6.6,78,9,No Risk
6.3,45,51,No Risk
6.4,57,29,No Risk
7.4,95,28,No Risk
4.8,83,39,No Risk
6.8,44,49,No Risk
7.8,60,60,No Risk
5.8,53,40,No Risk
6.4,97,20,No Risk
7.4,97,46,No Risk
5.6,60,5,No Risk
5.1,57,31,No Risk
4.1,89,53,No Risk
4.5,95,62,No Risk
7.9,93,48,No Risk
4.3,69,38,No Risk
5.3,44,55,No Risk
7.1,61,14,No Risk
4.7,99,62,No Risk
5.7,90,52,No Risk
6,75,39,No Risk
5,50,17,No Risk
6.8,62,25,No Risk
5.1,73,16,No Risk
5.2,78,53,No Risk
5.1,95,31,No Risk
6,62,46,No Risk
6.1,80,55,No Risk
7.1,44,27,No Risk
7.2,81,33,No Risk
4.4,78,11,No Risk
6.5,70,65,No Risk
6.2,46,37,No Risk
5.7,61,32,No Risk
6.5,86,27,No Risk
6.4,98,3,No Risk
7.7,98,26,No Risk
7.1,61,53,No Risk
5.6,95,15,No Risk
6.4,45,57,No Risk
4.6,86,32,No Risk
4.3,66,3,No Risk
6.8,88,22,No Risk
4.6,45,29,No Risk
4.5,79,17,No Risk
4.4,75,42,No Risk
6.9,83,2,No Risk
6.6,93,62,No Risk
6.6,54,59,No Risk
4.1,42,54,No Risk
4.4,57,60,No Risk
6.2,76,35,No Risk
6.7,72,42,No Risk
6.9,91,56,No Risk
7.4,94,53,No Risk
4.9,54,0,No Risk
5.2,68,33,No Risk
7.2,75,56,No Risk
4.7,75,51,No Risk
4.9,51,54,No Risk
6.3,59,22,No Risk
5.9,93,49,No Risk
6.1,70,36,No Risk
7,62,51,No Risk
7.5,76,37,No Risk
5.3,78,26,No Risk
7.5,52,49,No Risk
7.5,64,22,No Risk
7.8,91,35,No Risk
6.3,60,36,No Risk
4.5,76,7,No Risk
7.2,43,24,No Risk
6.9,59,34,No Risk
6.7,48,15,No Risk
7.9,69,55,No Risk
5.8,87,28,No Risk
4.6,59,65,No Risk
7.7,97,9,No Risk
5.1,65,33,No Risk
5,61,40,No Risk
4.3,51,33,No Risk
6.8,79,20,No Risk
6.9,73,3,No Risk
5.2,51,30,No Risk
5.9,83,40,No Risk
4.4,58,56,No Risk
4.8,62,28,No Risk
7.6,67,34,No Risk
7.7,58,16,No Risk
4.8,62,56,No Risk
7.4,48,55,No Risk
7.8,79,61,No Risk
7.9,44,48,No Risk
5.6,98,42,No Risk
5.3,40,58,No Risk
5.1,55,44,No Risk
4.5,88,7,No Risk
5.4,99,36,No Risk
6.6,99,47,No Risk
7.4,66,56,No Risk
5.7,86,61,No Risk
7,65,5,No Risk
5.3,97,18,No Risk
6.6,81,63,No Risk
5.1,57,60,No Risk
5.2,45,49,No Risk
6,52,1,No Risk
6.3,42,23,No Risk
7.2,77,39,No Risk
6.5,92,37,No Risk
6,53,58,No Risk
6.1,73,9,No Risk
5.2,68,18,No Risk
6.2,88,45,No Risk
7.2,85,45,No Risk
4.8,65,44,No Risk
5.7,80,6,No Risk
4.3,53,18,No Risk
4.4,57,15,No Risk
7,40,49,No Risk
6.5,71,20,No Risk
7.2,52,60,No Risk
7.2,59,42,No Risk
4.6,94,25,No Risk
4.8,94,38,No Risk
4.2,82,19,No Risk
7.1,96,9,No Risk
4.8,74,43,No Risk
7.6,44,40,No Risk
7.4,69,52,No Risk
5.4,89,17,No Risk
4.2,44,52,No Risk
7.5,64,13,No Risk
8,71,35,No Risk
6.8,87,15,No Risk
4.6,54,24,No Risk
6.8,67,44,No Risk
4.7,51,24,No Risk
6.9,59,40,No Risk
6.9,79,64,No Risk
5.1,87,36,No Risk
6.6,51,54,No Risk
5.2,98,60,No Risk
4.1,72,54,No Risk
7.1,47,16,No Risk
5.3,57,64,No Risk
6.6,56,1,No Risk
7.2,54,44,No Risk
7.8,87,36,No Risk
5.8,45,65,No Risk
6.5,98,38,No Risk
6.7,81,54,No Risk
4.9,68,62,No Risk
7.6,63,15,No Risk
4.2,98,33,No Risk
6.5,84,20,No Risk
8,52,8,No Risk
7.9,65,6,No Risk
4.6,65,16,No Risk
5.5,95,47,No Risk
5,71,52,No Risk
5.3,97,32,No Risk
6.7,79,27,No Risk
5.2,83,1,No Risk
6.1,59,31,No Risk
4.3,95,56,No Risk
5.3,89,17,No Risk
5.9,50,19,No Risk
5.5,91,52,No Risk
5.5,46,33,No Risk
6.8,70,49,No Risk
5.4,88,2,No Risk
4.8,68,4,No Risk
7.4,59,30,No Risk
5.2,93,62,No Risk
5,64,1,No Risk
6,65,54,No Risk
6.5,71,29,No Risk
6.5,45,5,No Risk
6.8,54,30,No Risk
6.5,83,24,No Risk
4.2,86,19,No Risk
7.8,93,14,No Risk
6.5,74,61,No Risk
6.6,53,42,No Risk
7,79,5,No Risk
6.5,86,8,No Risk
5.8,53,44,No Risk
7.1,75,57,No Risk
6.6,52,60,No Risk
6.2,61,56,No Risk
7.6,81,51,No Risk
7.5,91,38,No Risk
7.8,63,4,No Risk
5.6,47,24,No Risk
7.3,84,55,No Risk
5.6,89,43,No Risk
5.8,45,59,No Risk
4.3,75,29,No Risk
6.1,41,58,No Risk
7.8,73,5,No Risk
6.3,70,19,No Risk
6.4,71,7,No Risk
6.3,85,22,No Risk
5,69,13,No Risk
7.1,63,54,No Risk
6.5,50,1,No Risk
6.5,58,4,No Risk
7.6,79,64,No Risk
6,64,8,No Risk
6.9,56,4,No Risk
5.3,47,49,No Risk
4.3,88,64,No Risk
6.9,98,36,No Risk
7.8,53,45,No Risk
7.5,41,50,No Risk
6,91,38,No Risk
7.9,89,19,No Risk
5.3,73,38,No Risk
4.2,80,50,No Risk
5,40,1,No Risk
7.5,48,50,No Risk
6.3,48,13,No Risk
7.1,44,31,No Risk
4.5,44,29,No Risk
7.1,84,12,No Risk
4.5,95,49,No Risk
7.4,46,27,No Risk
6.5,52,24,No Risk
6.2,93,48,No Risk
7.9,54,61,No Risk
7.7,94,18,No Risk
7.8,75,51,No Risk
4.8,54,13,No Risk
4.3,97,10,No Risk
6.3,76,5,No Risk
4.1,47,32,No Risk
5.4,47,25,No Risk
7.9,85,62,No Risk
5.4,90,53,No Risk
5,47,46,No Risk
5.5,88,10,No Risk
7.7,70,40,No Risk
7.7,48,36,No Risk
7.2,51,53,No Risk
5.2,49,18,No Risk
7.3,49,60,No Risk
5.7,88,41,No Risk
7,83,2,No Risk
6.5,71,38,No Risk
5.5,79,41,No Risk
5.4,82,46,No Risk
6.1,70,65,No Risk
4.6,95,34,No Risk
8,59,5,No Risk
7.6,63,60,No Risk
6.6,90,2,No Risk
4.5,59,24,No Risk
5.6,94,0,No Risk
6.2,47,19,No Risk
5.9,47,30,No Risk
5.4,81,61,No Risk
4.8,88,24,No Risk
7.3,87,0,No Risk
4.1,73,38,No Risk
4.1,88,6,No Risk
7.3,62,40,No Risk
4.4,54,31,No Risk
4.5,54,6,No Risk
6.7,41,12,No Risk
4.7,46,41,No Risk
4.4,67,43,No Risk
7.7,72,17,No Risk
7.8,47,33,No Risk
5.3,44,54,No Risk
7.5,50,26,No Risk
7.5,55,19,No Risk
6,99,45,No Risk
5.6,84,16,No Risk
4.1,73,23,No Risk
7.9,67,57,No Risk
5.5,75,38,No Risk
4.5,48,62,No Risk
6.4,56,4,No Risk
4.1,89,1,No Risk
5.7,48,3,No Risk
7.7,65,24,No Risk
7.4,44,13,No Risk
6.5,78,14,No Risk
5,65,31,No Risk
6.9,68,59,No Risk
7.6,62,31,No Risk
7.5,82,26,No Risk
4.2,64,5,No Risk
5.2,57,41,No Risk
6.1,70,23,No Risk
4.3,97,14,No Risk
7.6,88,57,No Risk
5,58,60,No Risk
6.9,42,55,No Risk
6.8,87,37,No Risk
5.7,47,52,No Risk
4.4,98,2,No Risk
6.6,83,27,No Risk
6.1,93,52,No Risk
7.8,55,27,No Risk
5.9,77,40,No Risk
4.4,60,50,No Risk
5.9,78,27,No Risk
7.8,91,8,No Risk
5.8,91,28,No Risk
7.4,72,3,No Risk
5.2,62,37,No Risk
5.2,66,33,No Risk
7.2,75,62,No Risk
7.1,86,14,No Risk
7.7,57,2,No Risk
4.6,56,45,No Risk
4.1,92,11,No Risk
7.9,47,2,No Risk
6.4,92,8,No Risk
4.5,96,36,No Risk
7.7,70,31,No Risk
4.9,46,23,No Risk
6.4,48,43,No Risk
4.2,59,2,No Risk
5,52,8,No Risk
5.7,63,10,No Risk
